,time,Latency
1649,1562049540,504303.3594591842
1650,1562050440,487411.68400262634
1651,1562051340,488583.7374177711
1652,1562052240,487338.19708190113
1653,1562053140,715185.7810244261
1654,1562054040,512367.29788778606
1655,1562054940,514234.8766619822
1656,1562055840,616973.5748706122
1657,1562056740,668367.470267043
1658,1562057640,656990.5767339909
1659,1562058540,661092.911250683
1660,1562059440,647440.4804362952
1661,1562060340,603367.3775776391
1662,1562061240,556836.3518730685
1663,1562062140,445150.04650274164
1664,1562063040,433052.9664768932
1665,1562063940,416693.5450139756
1666,1562064840,436103.1511845309
1667,1562065740,433083.6903443625
1668,1562066640,429695.70314691705
1669,1562067540,422357.9818905914
1670,1562068440,418792.26843607664
1671,1562069340,438829.0417326083
1672,1562070240,424761.2704302148
1673,1562071140,432581.2446166458
1674,1562072040,424353.8092803548
1675,1562072940,435485.8284409544
1676,1562073840,434626.3885432379
1677,1562074740,423790.0702946851
1678,1562075640,439825.7246998955
1679,1562076540,432395.6514995276
1680,1562077440,409218.1309674603
1681,1562078340,412012.43640369846
1682,1562079240,392224.30336088
1683,1562080140,382291.46339060325
1684,1562081040,359645.2600405438
1685,1562081940,339925.6875398161
1686,1562082840,313811.8597527508
1687,1562083740,342448.928774818
1688,1562084640,350237.41562302015
1689,1562085540,324565.37552997534
1690,1562086440,431605.07534342917
1691,1562087340,516931.37017994554
1692,1562088240,519360.2640525225
1693,1562089140,507462.3240537061
1694,1562090040,516121.1490168785
1695,1562090940,598204.7529853957
1696,1562091840,553532.5610041943
1697,1562092740,506633.42115712946
1698,1562093640,534320.5467608955
1699,1562094540,538879.0121088685
1700,1562095440,579540.1201171182
1701,1562096340,563247.1668701445
1702,1562097240,587521.4280686761
1703,1562098140,592098.2207971435
1704,1562099040,583869.3940859648
1705,1562099940,591926.0559774447
1706,1562100840,565061.9771988136
1707,1562101740,584721.6724027998
1708,1562102640,543727.501958631
1709,1562103540,537290.2147021807
1710,1562104440,518722.42247612483
1711,1562105340,527878.1743769621
1712,1562106240,522126.93933640776
1713,1562107140,486072.65627840743
1714,1562108040,477633.8848650016
1715,1562108940,524561.6634735963
1716,1562109840,509165.16439353087
1717,1562110740,529418.6297338371
1718,1562111640,545360.9946994468
1719,1562112540,573203.6996275254
1720,1562113440,561845.9711725217
1721,1562114340,552545.0308032155
1722,1562115240,602538.7520805566
1723,1562116140,623105.7979035462
1724,1562117040,624396.6188218222
1725,1562117940,610112.26739442
1726,1562118840,642127.4961570214
1727,1562119740,644111.8913498181
1728,1562120640,620094.5602800385
1729,1562121540,649467.4562487967
1730,1562122440,587711.2359448421
1731,1562123340,641258.6765952886
1732,1562124240,644478.8942161188
1733,1562125140,655766.6043914346
1734,1562126040,592262.8223866357
1735,1562126940,624546.9463698644
1736,1562127840,833173.1699806101
1737,1562128740,512869.429119815
1738,1562129640,515206.0651588385
1739,1562130540,527419.994319258
1740,1562131440,505951.28285904205
1741,1562132340,504077.05644528795
1742,1562133240,528530.035283408
1743,1562134140,529870.3806622864
1744,1562135040,519141.2591722083
1745,1562135940,523424.72861998674
1746,1562136840,517321.146496149
1747,1562137740,509819.00673219474
1748,1562138640,517232.75461825513
1749,1562139540,520595.4600561136
1750,1562140440,539722.5697876505
1751,1562141340,525762.8049493696
1752,1562142240,440008.1448719262
1753,1562143140,420609.41360760725
1754,1562144040,447762.93066639674
1755,1562144940,494696.0287636078
1756,1562145840,454051.1704500057
1757,1562146740,465805.1580011349
1758,1562147640,592246.9302087722
1759,1562148540,442983.65525344596
1760,1562149440,443346.9291644536
1761,1562150340,426789.3406096504
1762,1562151240,434866.5187821597
1763,1562152140,434766.89254128316
1764,1562153040,475363.40221434366
1765,1562153940,431433.09931443783
1766,1562154840,424875.7672705904
1767,1562155740,416306.9944964971
1768,1562156640,423606.4437370949
1769,1562157540,392724.6251326608
1770,1562158440,393008.42261064315
1771,1562159340,381819.10637930763
1772,1562160240,388900.4331874235
1773,1562161140,388922.55399190105
1774,1562162040,389891.6530384356
1775,1562162940,386936.60205296805
1776,1562163840,385379.01531618583
1777,1562164740,411376.5473639042
1778,1562165640,388727.55561116274
